GMC,Sonoma,2020-03-14,21062
Land Rover,Range Rover,2019-04-18,16563
Honda,Insight,2021-01-01,24766
Ford,F350,2019-01-22,20303
Subaru,SVX,2019-04-21,24681
Chevrolet,Prizm,2021-12-10,19653
Toyota,Xtra,2021-08-24,20755
Toyota,Sienna,2019-01-25,18740
BMW,745,2019-12-11,24204
Land Rover,Defender,2019-08-13,22452
Porsche,928,2020-02-08,19204
Lexus,LX,2019-02-22,16648
Ford,Mustang,2020-09-17,21241
Nissan,370Z,2020-08-11,20373
Nissan,Sentra,2020-05-17,19868
GMC,Savana 1500,2021-08-01,17629
Mercedes-Benz,CLS-Class,2019-05-16,18870
Ford,Excursion,2020-02-19,16934
Lexus,RX,2020-09-26,21251
Mazda,B-Series,2020-02-21,20542
Mazda,B-Series,2020-06-23,21515
Toyota,4Runner,2020-01-27,17729
Mercedes-Benz,SL-Class,2021-09-16,17514
Honda,Insight,2021-08-21,15105
Saturn,L-Series,2020-02-10,16983
Saturn,Ion,2019-05-06,20449
Kia,Sephia,2021-05-10,16704
Nissan,Altima,2020-08-05,19665
Acura,Integra,2021-07-06,20342
Isuzu,Amigo,2020-06-03,21807
Audi,A3,2019-11-24,20446
Cadillac,Fleetwood,2020-02-21,23216
Nissan,Sentra,2021-02-24,22733
Audi,5000CS,2019-08-16,23733
Mazda,Mazdaspeed 3,2020-04-09,15838
Bentley,Continental GTC,2019-08-19,19747
Mazda,626,2019-11-08,21525
Chevrolet,Avalanche 1500,2019-01-28,22807
Infiniti,Q,2019-09-20,22972
Mercury,Tracer,2019-02-28,24208
Mazda,B-Series,2020-11-12,21603
Honda,Prelude,2020-09-12,17524
Volkswagen,GTI,2021-11-28,22469
Chevrolet,Classic,2020-07-20,17316
Jeep,Cherokee,2021-05-13,18247
Ford,F-Series Super Duty,2020-11-22,17228
Cadillac,Catera,2019-11-14,23161
Volkswagen,GTI,2020-04-02,23422
Chevrolet,Tahoe,2021-05-27,24447
Ford,F250,2019-03-30,24770
