brand,model,release_date,price
Audi,A8,2019-11-28,18692
Volvo,C70,2020-05-01,23396
Ford,F450,2020-02-14,23811
Mitsubishi,Tredia,2019-03-06,17035
Kia,Rio,2020-04-04,16921
Buick,Park Avenue,2020-02-10,20278
Kia,Rio,2019-11-14,19627
Ford,Edge,2020-12-24,16653
Chevrolet,Camaro,2021-12-13,17376
Audi,4000CS Quattro,2020-12-21,16494
Mitsubishi,Diamante,2019-04-07,24288
Acura,CL,2019-05-16,18996
Dodge,Dakota,2019-01-24,21634
Buick,Century,2019-04-30,21441
Mitsubishi,Pajero,2020-11-05,16672
Oldsmobile,Silhouette,2019-05-04,17864
Mazda,B-Series,2021-08-18,20027
Ford,F-Series,2021-02-17,23407
Infiniti,QX,2020-11-20,21108
Chevrolet,Express 2500,2020-06-30,23357
Lexus,LX,2019-11-15,17029
Toyota,Sequoia,2019-01-03,17933
Plymouth,Laser,2021-10-19,19869
Volvo,S60,2021-11-09,20862
Ford,E-Series,2020-12-24,18203
Subaru,Forester,2019-05-11,20072
Chrysler,PT Cruiser,2020-09-15,17444
Ford,E150,2020-11-18,18841
Mazda,Mazda5,2019-03-12,18167
Hyundai,Accent,2019-10-16,16466
Jeep,Grand Cherokee,2019-01-06,20361
Mercury,Sable,2020-08-15,21708
Volkswagen,Jetta,2021-04-04,20260
Saturn,L-Series,2021-05-01,21910
Mitsubishi,Eclipse,2021-11-29,22629
Acura,Integra,2021-07-25,24814
Jeep,Cherokee,2019-12-07,16202
Mitsubishi,GTO,2019-06-23,19512
Plymouth,Grand Voyager,2021-03-26,20610
Honda,S2000,2021-06-05,21494
Kia,Sephia,2019-01-21,20411
Ford,Mustang,2020-05-29,15181
Toyota,Celica,2021-07-17,18195
Bentley,Continental GTC,2019-11-13,23784
Dodge,Stratus,2020-09-01,16750
Chevrolet,Astro,2019-07-07,23074
Kia,Rio,2020-11-24,15710
Mercedes-Benz,SLS AMG,2020-05-11,22737
Ford,Explorer Sport Trac,2021-08-14,17904
Dodge,Charger,2021-03-31,20657
